date,kd490
2026-01-27,0.1103
2026-01-29,0.1212
2026-01-30,0.1058
2026-01-31,0.0978
2026-02-01,0.0956
2026-02-02,0.0717
2026-02-03,0.0715
2026-02-04,0.1206
2026-02-05,0.0856
2026-02-06,0.0609
2026-02-07,0.0813
2026-02-08,0.0614
2026-02-12,0.0718
2026-02-13,0.0906
2026-02-17,0.1406
2026-02-18,0.1128
2026-02-20,0.1815
2026-02-21,0.1334
2026-02-22,0.1766
2026-02-24,0.2459
2026-02-25,0.3437
2026-02-26,0.3061
2026-02-27,0.2436
2026-02-28,0.1919
2026-03-01,0.1597
2026-03-02,0.1561
2026-03-03,0.1078
2026-03-05,0.1069
2026-03-06,0.2988
2026-03-07,0.1367
2026-03-08,0.1423
2026-03-09,0.1208
2026-03-10,0.1189
2026-03-11,0.1168
2026-03-12,0.0926
2026-03-13,0.0793
2026-03-14,0.0842
2026-03-15,0.0726
2026-03-16,0.1308
2026-03-17,0.1088
2026-03-18,0.1082
2026-03-19,0.0837
2026-03-20,0.1016
2026-03-21,0.1009
2026-03-22,0.1109
2026-03-23,0.091
2026-03-24,0.0792
2026-03-25,0.1052
2026-03-26,0.1011
2026-03-27,0.1047
2026-03-28,0.0594
2026-03-29,0.0883
2026-04-01,0.1015
2026-04-02,0.1115
2026-04-03,0.0679
2026-04-04,0.0704
2026-04-05,0.1174
2026-04-06,0.101
2026-04-07,0.1192
2026-04-08,0.1168
2026-04-10,0.1025
2026-04-11,0.1163
2026-04-13,0.092
2026-04-14,0.062
2026-04-15,0.0917
2026-04-17,0.1561
2026-04-18,0.1139
2026-04-19,0.1205
2026-04-20,0.1033
2026-04-21,0.0843
2026-04-22,0.1261
2026-04-23,0.0993
2026-04-24,0.1084
2026-04-26,0.13
2026-04-27,0.1516
2026-05-01,0.0968
2026-05-02,0.117
2026-05-04,0.1337
2026-05-05,0.153
2026-05-06,0.1297
2026-05-07,0.1307
2026-05-08,0.101
2026-05-10,0.0983
2026-05-11,0.1616
2026-05-13,0.1162
2026-05-17,0.0894
2026-05-18,0.0886
2026-05-20,0.0981
2026-05-21,0.0753
2026-05-22,0.0757
2026-05-23,0.0787
2026-05-26,0.0868
2026-05-27,0.142
2026-05-28,0.1356
2026-05-29,0.1562
2026-05-31,0.1168
2026-06-02,0.0996
2026-06-03,0.1096
2026-06-07,0.0745
2026-06-08,0.0809
2026-06-11,0.0671
2026-06-12,0.1197
2026-06-13,0.1293
2026-06-14,0.1542
2026-06-16,0.1892
2026-06-18,0.1421
2026-06-19,0.1476
2026-06-21,0.1363
2026-06-22,0.1394
2026-06-23,0.105
2026-06-27,0.1252
2026-06-28,0.1086
2026-06-29,0.0724
2026-06-30,0.1041
2026-07-02,0.1005
2026-07-04,0.104
2026-07-05,0.1348
2026-07-07,0.112
2026-07-08,0.0551
2026-07-16,0.0671
2026-07-18,0.0535
2026-07-21,0.0567
2026-07-23,0.069
2026-07-24,0.0628
2026-07-25,0.032
2026-07-28,0.0439
2026-07-29,0.0501
2026-07-30,0.0438
2026-07-31,0.0508
